OBJECTID,NAME,PLANNER,HOUSINGCODE,ENGINEER
1,North Downtown,BRIAN HALUSKA,MATT FICHTER,HUGH BLAKE
2,Martha Jefferson,CARRIE RAINEY,PATRICIA CARRINGTON,HUGH BLAKE
3,Woolen Mills,CARRIE RAINEY,PATRICIA CARRINGTON,HUGH BLAKE
5,Locust Grove,DANNAN O'CONNELL,PATRICIA CARRINGTON,HUGH BLAKE
6,Greenbrier,DANNAN O'CONNELL,MATT FICHTER,CHRIS SIBOLD
9,The Meadows,DANNAN O'CONNELL,MATT FICHTER,CHRIS SIBOLD
10,Belmont,SHARED,MATT FICHTER,HUGH BLAKE
11,Fifeville,MATT ALFELE,MATT MCCRACKEN,HUGH BLAKE
12,Johnson Village,MATT ALFELE,PATRICIA CARRINGTON,HUGH BLAKE
13,Ridge Street,CARRIE RAINEY,MATT FICHTER,HUGH BLAKE
14,Starr Hill,BRIAN HALUSKA,MATT MCCRACKEN,HUGH BLAKE
15,Barracks Road,DANNAN O'CONNELL,MATT MCCRACKEN,CHRIS SIBOLD
16,Fry's Spring,MATT ALFELE,MATT MCCRACKEN,HUGH BLAKE
17,Jefferson Park Avenue,MATT ALFELE,MATT MCCRACKEN,CHRIS SIBOLD
18,Lewis Mountain,DANNAN O'CONNELL,MATT MCCRACKEN,CHRIS SIBOLD
19,Venable,DANNAN O'CONNELL,MATT MCCRACKEN,CHRIS SIBOLD
20,10th & Page,BRIAN HALUSKA,MATT MCCRACKEN,CHRIS SIBOLD
21,Rose Hill,BRIAN HALUSKA,MATT FICHTER,CHRIS SIBOLD
22,Barracks / Rugby,DANNAN O'CONNELL,MATT FICHTER,CHRIS SIBOLD
